id,name,nationality,culture,sex,position,type,winner
iw,Ian Walker,UK,1,1,1,1,0
ak,Adil Khalid,ARE,4,1,2,1,0
adoct1415,Abu Dhabi Ocean Racing Team 1415,NA,0,0,0,2,1
ador1112,Abu Dhabi Ocean Racing 1112,NA,0,0,0,2,2
gd0809,Green Dragon 0809,NA,0,0,0,2,2
