id,name,nationality,culture,sex,position,type,winner
iw,Ian Walker,UK,1,1,1,1,0
ak,Adil Khalid,ARE,4,1,2,1,0
adoct,Abu Dhabi Ocean Racing Team,NA,0,0,0,2,1
ador,Abu Dhabi Ocean Racing,NA,0,0,0,2,2
gd,Green Dragon,NA,0,0,0,2,2
