from,to
tc,Team Sun Hung Kai/Scallywag 17/18
tc,AUS
af,Team Sun Hung Kai/Scallywag 17/18
af,PT
gw,Team Sun Hung Kai/Scallywag 17/18
gw,AUS
ts,Team Sun Hung Kai/Scallywag 17/18
ts,UK
maj,Team Sun Hung Kai/Scallywag 17/18
maj,AUS
tb,Team Sun Hung Kai/Scallywag 17/18
tb,AUS
pc,Team Sun Hung Kai/Scallywag 17/18
pc,UK
jm,Team Sun Hung Kai/Scallywag 17/18
jm,AUS
am,Team Turn the Tide on Plastic 17/18
am,IR
bm,Team Turn the Tide on Plastic 17/18
bm,UK
fc,Team Turn the Tide on Plastic 17/18
fc,IT
bf,Team Turn the Tide on Plastic 17/18
bf,PT
hb,Team Turn the Tide on Plastic 17/18
hb,UK
lc,Team Turn the Tide on Plastic 17/18
lc,AUS
fpdm,Team Turn the Tide on Plastic 17/18
fpdm,PT
bc,Team Turn the Tide on Plastic 17/18
bc,NZ
ms,Team Turn the Tide on Plastic 17/18
ms,SE
brth,Team Turn the Tide on Plastic 17/18
brth,UK
nl,Team Turn the Tide on Plastic 17/18
nl,FRA
df,Team Vestas 11th hour racing 17/18
df,IR
ph,Team Vestas 11th hour racing 17/18
ph,AUS
tmu,Team Vestas 11th hour racing 17/18
tmu,NZ
jmh,Team Vestas 11th hour racing 17/18
jmh,DNK
hd,Team Vestas 11th hour racing 17/18
hd,UK
rbdc,Team Vestas 11th hour racing 17/18
rbdc,ESP
