id,sailor,nationality,sex (m/w/d),type
dv,David Vera,ESP,m,1
im,Iker Martinez,ESP,m,1
jsw,Jonathan Swain,ZAF,m,1
jca,Jordi Calafat,ESP,m,1
pr,Pepe Ribes,ESP,m,1
ga,Guillermo Altadill,ESP,m,1
afo,André Fonseca,BR,m,1
mag,Matthew Gregory,US,m,1
fk,Frits Koek,NLD,m,1
eo,Edwin O'Connor,IR,m,1
go,Ger O'Rourke,IR,m,1
dp,David Pella,ESP,m,1
gp,Gerd-Jan Poortman,NLD,m,1
evl,Eduard van Lierde,NLD,m,1
mwa,Martin Watts,UK,m,1
mw,Morgan White,AUS,m,1
stw,Stuart Wilson,NZ,m,1
nbu,Nick Bubb,UK,m,1
je,Jeremy Elliott,IR,m,1
bco,Ben Costello,AUS,m,1
ah,Andreas Hanakamp,AUT,m,1
mj,Michael Joubert,ZAF,m,1
rl,Rodion Luka,UKR,m,1
sw,Stig Westergaard,DNK,m,1
cw,Cameron Wills,ZAF,m,1
oz,Oleg Zherebtsov,RUS,m,1
bd,Benjamin Dutrex,FRA,m,1
rst,Robert Stanjek,GER,m,1
pk,Phillipp Kasüke,GER,m,1
acb,Anne-Claire le Berre,FRA,w,1
gl,Gauthier Lebec,FRA,m,1
ss,Sebastien Simon,FRA,m,1
cd,Charles Drapeau,FRA,m,1
pm,Paul Meilhat,FRA,m,1
ama,Anthony Marchand,FRA,m,1
ml,Mariana Lobato,POR,w,1
alr,Alan Roberts,UK,m,1
agr,Amelie Grassi,FRA,w,1
dse,Damien Seguin,FRA,m,1
rgl,Ronan Gladu,FRA,m,1
ab,Anne Beauge,FRA,w,1
zm,Zhang Minghao,CHN,m,1
bh,Boris Herrmann,GER,m,1
wh,Will Harris,UK,m,1
rku,Rosalin Kuiper,NED,w,1
cp,Christopher Pratt,FRA,m,1
ap,Axelle Pillain,FRA,w,1
ye,Yann Elies,FRA,m,1
aa,Antoine Auriol,FRA,m,1
bs,Benjamin Schwartz,FRA,m,1
sgo,Sam Goodchild,UK,m,1
tl,Tom Laperche,FRA,m,1
sbe,Susann Beucke,GER,w,1
mlp,Martin le Pape,FRA,m,1
yr,Yoann Richomme,FRA,m,1
gs,Georgia Schofield,NZ,w,1
jch,Julien Champollion,FRA,m,1
ami,Adam Minoprio,NZ,m,1
kh,Kelvin Harrap,NZ,m,1
zg,Zane Gills,AUS,m,1
msa,Mike Sanderson,NZ,m,1
amei,Andy Meikeljohn,NZ,m,1
bsc,Bert Schandevyl,BEL,m,1
cdu,Cameron Dunn,NZ,m,1
tjh,Teng Jiang He,CHN,m,1
sm,Sébastien Marsset,FRA,m,1
adoct1415,Abu Dhabi Ocean Racing Team 1415,,,2
tb1415,Team Brunel 1415,,,2
drt1415,Dongfeng Race Team 1415,,,2
tm1415,Team Mapfre 1415,,,2
tsca1415,Team SCA 1415,,,2
