from,to,,
abe,tshks1718,crew,
abe,hprb2223,crew,
abe,NLD,,
tc,tshks1718,crew,
tc,AUS,,
af,tshks1718,crew,
af,PT,,
gw,tshks1718,crew,
gw,AUS,,
ts,tshks1718,crew,
ts,UK,,
maj,tshks1718,crew,
maj,AUS,,
tb,tshks1718,crew,
tb,gd0809,crew,
tb,AUS,,
pc,tshks1718,crew,
pc,UK,,
jma,tshks1718,crew,
jma,AUS,,
am,ttttop1718,crew,
am,IR,,
bm,ttttop1718,crew,
bm,UK,,
fcl,ttttop1718,crew,
fcl,11th2223,crew,
fcl,IT,,
bfr,ttttop1718,crew,
bfr,PT,,
hb,ttttop1718,crew,
hb,UK,,
lc,ttttop1718,crew,
lc,AUS,,
fpdm,ttttop1718,crew,
fpdm,PT,,
bc,ttttop1718,crew,
bc,NZ,,
ms,ttttop1718,crew,
ms,e30809,crew,
ms,g41112,crew,
ms,SE,,
brth,ttttop1718,crew,
brth,UK,,
nl,ttttop1718,crew,
nl,tm2223,crew,
nl,FRA,,
df,tvhr1718,crew,
df,gd0809,crew,
df,11th2223,crew,
df,IR,,
ph,tvhr1718,crew,
ph,gd0809,crew,
ph,adoct1415,crew,
ph,AUS,,
tmu,tvhr1718,crew,
tmu,por1112,crew,
tmu,e40809,crew,
tmu,NZ,,
jmh,tvhr1718,crew,
jmh,DNK,,
hd,tvhr1718,crew,
hd,UK,,
rbdc,tvhr1718,crew,
rbdc,cwetnz1112,crew,
rbdc,dl0809,skipper,
rbdc,ESP,,
tg,e40809,skipper,
tg,BR,,
hc,e40809,crew,
hc,BR,,
jus,e40809,crew,
jus,UK,,
bj,e40809,crew,
bj,por1112,crew,
bj,NZ,,
de,e40809,crew,
de,NZ,,
jsi,e40809,crew,
jsi,t1112,crew,
jsi,BR,,
rgo,e40809,crew,
rgo,por1112,crew,
rgo,AUS,,
pj,e40809,crew,
pj,NZ,,
tjo,e30809,crew,
tjo,FIN,,
mk,e30809,crew,
mk,g41112,crew,
mk,SE,,
