id,name,nationality,culture,sex,position,type,winner
iw ,Ian Walker,UK,1,1,1,1,
ak,Adil Khalid,ARE,4,1,2,1,
adoct,Abu Dhabi Ocean Racing Team,,,,,2,1
ador,Abu Dhabi Ocean Racing,,,,,2,2
gd,Green Dragon,,,,,2,2
