id,team,position
amcl,gd0809,crew
amcl,cwetnz1112,crew
ame,gd0809,crew
scm,gd0809,crew
imo,gd0809,crew
jln,gd0809,crew
jln,g41112,crew
fs,gd0809,crew
gar,tbla0809,crew
ja,tbla0809,crew
fe,tbla0809,skipper
pi,tbla0809,crew
sl,tbla0809,crew
rni,tbla0809,crew
mp,tbla0809,crew
mp,cwetnz1112,crew
jp,tbla0809,crew
fr,tbla0809,crew
dv,tbla0809,crew
im,tblu0809,crew
im,t1112,skipper
jsw,tblu0809,crew
jsw,por1112,crew
jca,tblu0809,crew
jca,t1112,crew
pr,tblu0809,crew
pr,t1112,skipper
ga,dl0809,crew
ga,tr0809,crew
afo,dl0809,crew
mag,dl0809,crew
fk,dl0809,crew
eo,dl0809,crew
go,dl0809,skipper
dp,dl0809,crew
gp,dl0809,crew
evl,dl0809,crew
mwa,dl0809,crew
mw,dl0809,crew
stw,dl0809,crew
nbu,tr0809,crew
je,tr0809,crew
bco,tr0809,crew
ah,tr0809,skipper
mj,tr0809,crew
rl,tr0809,crew
sw,tr0809,crew
cw,tr0809,crew
oz,tr0809,crew
bd,ge2223,skipper
rst,ge2223,skipper
pk,ge2223,crew
acb,ge2223,crew
gl,ge2223,crew
ss,ge2223,crew
te,ge2223,crew
cd,ge2223,crew
pm,br2223,skipper
ama,br2223,crew
ml,br2223,crew
alr,br2223,crew
agr,br2223,crew
dse,br2223,crew
rgl,br2223,crew
ab,br2223,crew
zm,br2223,crew
bh,tm2223,skipper
wh,tm2223,skipper
rku,por1112,crew
rku,tm2223,crew
cp,tm2223,crew
ap,tm2223,crew
ye,tm2223,crew
aa,tm2223,crew
bs,hprb2223,skipper
sgo,hprb2223,crew
tl,hprb2223,crew
sbe,hprb2223,crew
mlp,hprb2223,crew
yr,hprb2223,crew
gs,hprb2223,crew
jch,hprb2223,crew
ami,cwetnz1112,crew
kh,por1112,crew
zg,t1112,crew
msa,ts1112,skipper
amei,ts1112,crew
bsc,ts1112,crew
cdu,ts1112,crew
tjh,ts1112,crew
